ƒ,Long_Title,Subtitle,Currency,ISA_eligible,ISIN,MIC,Symbol,Fractional_Enabled,PLUS_only,for_Ireland_investors,for_Netherlands_investors,DUTCH_KIID_URL
Pampa Energia,Pampa Energia,Electricity,USD,FALSE,US6976602077,XNYS,PAM,TRUE,FALSE,TRUE,TRUE,
Alto Palermo,Alto Palermo,Commercial real estate,USD,FALSE,US4635881034,XNAS,IRCP,TRUE,FALSE,TRUE,TRUE,
Trans. ra de Gas,Transportadora de Gas del Sur S.A. (ADR),Natural gas,USD,FALSE,US8938702045,XNYS,TGS,TRUE,FALSE,TRUE,TRUE,
Loma Negra,Loma Negra Compania Industrial Argentina SA (ADR),Construction materials,USD,FALSE,US54150E1047,XNYS,LOMA,TRUE,FALSE,TRUE,TRUE,
Telecom Argentina,Telecom Argentina SA (ADR),Telecommunications,USD,FALSE,US8792732096,XNYS,TEO,TRUE,FALSE,TRUE,TRUE,
Ternium,Ternium SA (ADR),Steelmaking,USD,FALSE,US8808901081,XNYS,TX,TRUE,FALSE,TRUE,TRUE,
Cresud,CRESUD SACIF Y A (ADR),Agricultural property,USD,FALSE,US2264061068,XNAS,CRESY,TRUE,FALSE,TRUE,TRUE,
Seeing Machines,Seeing Machines Ltd,AI,GBP,TRUE,AU0000XINAJ0,XLON,SEE,FALSE,FALSE,TRUE,TRUE,
Euronav,Euronav NV,Oil shipping,USD,TRUE,BE0003816338,XNYS,EURN,TRUE,FALSE,TRUE,TRUE,
Materialise,Materialise,3D printing,USD,FALSE,US57667T1007,XNAS,MTLS,TRUE,FALSE,TRUE,TRUE,
Essent Group,Essent Group Ltd,Mortgage insurance,USD,TRUE,BMG3198U1027,XNYS,ESNT,TRUE,FALSE,TRUE,TRUE,
Bunge,Bunge Limited,Agribusiness,USD,TRUE,BMG169621056,XNYS,BG,TRUE,FALSE,TRUE,TRUE,
China Yuchai Intl,China Yuchai International Limited,Engine production,USD,TRUE,BMG210821051,XNYS,CYD,TRUE,FALSE,TRUE,TRUE,
Golar LNG,Golar LNG Ltd.,LNG infrastructure,USD,TRUE,BMG9456A1009,XNAS,GLNG,TRUE,FALSE,TRUE,TRUE,
Nabors Industries,Nabors Industries,Drilling rigs,USD,TRUE,BMG6359F1370,XNYS,NBR,TRUE,TRUE,TRUE,TRUE,
Credicorp,Credicorp Ltd,Peruvian banks,USD,TRUE,BMG2519Y1084,XNYS,BAP,TRUE,FALSE,TRUE,TRUE,
Textainer Group,Textainer Group Holdings Limited,Shipping containers,USD,TRUE,BMG8766E1093,XNYS,TGH,TRUE,FALSE,TRUE,TRUE,
LLA (Class A),Liberty Latin America Ltd - Class A Shares,Telecoms,USD,TRUE,BMG9001E1021,XNAS,LILA,TRUE,TRUE,TRUE,TRUE,
Genpact,Genpact Ltd,Professional services,USD,TRUE,BMG3922B1072,XNYS,G,TRUE,FALSE,TRUE,TRUE,
Central European Media,Central European Media Enterprises Ltd,TV,USD,TRUE,BMG200452024,XNAS,CETV,TRUE,FALSE,TRUE,TRUE,
GAN,GAN Ltd,Gambling software,USD,TRUE,BMG3728V1090,XNAS,GAN,TRUE,FALSE,TRUE,TRUE,
Alpha & Omega,Alpha & Omega Semiconductor Ltd,Semiconductor tech,USD,TRUE,BMG6331P1041,XNAS,AOSL,TRUE,FALSE,TRUE,TRUE,
Norwegian,Norwegian Cruise Line Holdings Ltd,Cruises,USD,TRUE,BMG667211046,XNYS,NCLH,TRUE,FALSE,TRUE,TRUE,
